title,provider,rating,url,level,price,description,skill_tags,duration_weeks,effort_hours,category,language,certificate,enrolled
Sustainable Development - Ideas and Imaginaries,University of Copenhagen,4.7,https://www.coursera.org/learn/sustainable-development-ideas-and-imaginaries,beginner level,3900,ideas and imaginaries inspire human capacity for great endeavours but conventional wisdom frequently prevents necessary change achievement of global sustainable development is therefore dependent on a profound comprehension of the preunderstandings and implicit imaginaries that form both our perception of reality and our basic confidence in the viability of transgressive action the present day concept and ideal of sustainable development contains many interlaced meanings and many contradictions in order to bring out the concept s indisputable transformative potential and be able to gain support promote decision making and take action in it it is therefore requisite to disentangle this mlange and shed light to the implicit preunderstandings this course will contribute to doing so by focusing on the historical roots and multiple layers of meaning of sustainable development and by exploring questions such as what is the historical background of the current sustainable development goals which imaginaries about relations between individual and collective tend to promote and prevent sustainable solutions how can ideas about humans and nature affect global development and how do we as humans react on inconstant notions of time and change during this course you will meet associate professor in history bo fritzbger from centre for sustainable futures as the primary lecturer and a range of cultural natural and social scientists all from the university of copenhagen working with different aspects of sustainability thinking we hope that you will join us in the course and qualify your participation in current discussions about how to achieve common sustainable development in a divided world excellent but there should be the name of the learner clearly structured and resumed to the essential the right balance between different views to promote critical thinking a good example in the art of thinking congratulation,"['Systems Thinking', 'Political Sciences', 'Ethical Standards And Conduct', 'Environment', 'Economics, Policy, and Social Studies', 'Social Sciences', 'Liberal Arts', 'Timelines', 'Culture']",2.0,6.0,arts_and_humanities,english,1,3860.0
At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,Sapienza University of Rome,4.5,https://www.coursera.org/learn/archaeology-city-levant-west,beginner level,3200,which are the deepest roots of that mix of cultures that we use to call mediterranean civilization which are comminglings and exchanges which produced its most complete fruit i e the city a place for landscape modelling communities and which elements did contribute to build up that baulk of customs ideas and innovations which compelled to confrontation and hybridizations different peoples for millennia what did it made from pottery to metallurgy from gastronomy to architecture from art to religion of a sea a cradle of civilization archaeology may help in disentangling such questions seeking unexpected answers by tinkering what ancient mediterranean peoples left buried in the ground a privileged point of view of our course is the ancient phoenician city of motya located exactly at the centre of the sea in the middle throughout the live experience of excavation with images taken on the field this course will let you touch the many tesserae of the great mosaic of the mediterranean civilization the field diary of the archaeologist and the handpick will be the two tools which will lead us across the sea to discover what such early cities actually were and how their contribute is still a major part of our shared memory i really enjoyed this hands on approach to teaching the professor was enlightening and entertaining and passionate about the subject loved it being on site most of the time8 this was a great course it was great to be out on location with the archaeologists and lorenzo nigro there was also a great selection of reading material which offered more in depth information a fascinating course i had to work hard to understand the material but i enjoyed the challenge i intend to review the course materials i m sure i will learn even more the second time through,"['Ancient History', 'Sociology', 'Anthropology', 'Art History', 'Cultural Diversity', 'Water Resources', 'Social Sciences', 'Economics', 'World History']",1.0,5.5,arts_and_humanities,english,1,20123.0
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,4.6,https://www.coursera.org/learn/philosophy-science-religion-2,beginner level,5800,philosophy science and religion mark three of the most fundamental modes of thinking about the world and our place in it are these modes incompatible put another way is the intellectually responsible thing to do to pick sides and identify with one of these approaches at the exclusion of others or are they complementary or mutually supportive as is typical of questions of such magnitude the devil is in the details for example it is important to work out what is really distinctive about each of these ways of inquiring about the world in order to gain some clarity here we ll be investigating what some of the current leading thinkers in philosophy science and religion are actually doing this course entitled philosophy and religion is the second of three related courses in our philosophy science and religion online series and in this course we will ask important questions about the age old debate between science and religion such as what kind of conflicts are there between religion and science does current cognitive science of religion effectively explain away god if there is a god who has made us so that we can know him why do some people not believe is belief in science also a kind of fundamentalism what makes us good at getting giving or sharing knowledge is this different when it is religious knowledge the first course in the philosophy science and religion series science and philosophy was launched early in 2017 and you can sign up to it at any time the third course religion and science will be launched early in 2018 completing all three courses will give you a broader understanding of this fascinating topic look for philosophy science and religion i science and philosophy https www coursera org learn philosophy science religion 1 philosophy science and religion iii religion and science upon successful completion of all three courses students will 1 understand the main parameters at stake in the current debate between science and religion 2 have some familiarity with the relevant areas of science that feature in the debateincluding cosmology evolution and the neurosciencesand will have begun to engage with them conceptually 3 have encountered key philosophical approaches to the interface between science and religion and will have had the opportunity to engage them in practice 4 have embarked constructively in cross disciplinary conversations 5 have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries you can also follow us on twitter at https twitter com ediphilonline and you can follow the hashtag psrmooc it is a good course that provide a basic understanding for inter relation between religion and philosophy as both of the believe systems have existed since hundred years ago i loved this course thoughtful well balanced excellent professors just what a course should be really interesting and accessible with different topics and different angles makes you think in a whole new way,"['Discussion Facilitation', 'Sociology', 'Psychology', 'Cultural Diversity', 'Research', 'Science and Research', 'Liberal Arts', 'Ethical Standards And Conduct']",3.0,6.5,arts_and_humanities,english,1,37698.0
Think Again IV: How to Avoid Fallacies,Duke University,4.6,https://www.coursera.org/learn/logical-fallacies,beginner level,4700,this course is part of introduction to logic and critical thinking specialization,"['Instructional Strategies', 'Persuasive Communication', 'Interactive Learning', 'Learning Strategies']",2.0,6.0,arts_and_humanities,english,1,55579.0
Classics of Chinese Humanities: Guided Readings,The Chinese University of Hong Kong,4.7,https://www.coursera.org/learn/classics-chinese-humanities,beginner level,0,an introductory yet trenchant exploration of select chinese classic texts that cover the domains of classical literature history philosophy and fine arts an excellent survey of four distinct aspects of chinese culture this was an enjoyable course and a good way to get familiar with these basic texts of chinese thought interesting old chinese professor speaks good english class kind of short,"['Culture', 'Aesthetics', 'Art History', 'Liberal Arts', 'Storytelling', 'Cultural Diversity', 'Writing', 'Ancient History', 'World History']",2.0,6.0,arts_and_humanities,english,1,13533.0
"The Modern World, Part Two: Global History since 1910",University of Virginia,4.8,https://www.coursera.org/learn/modern-world-2,beginner level,2600,this is a survey of modern history from a global perspective part two begins early in the twentieth century as older ways of doing things and habits of thought give way what follows is an era of cataclysmic struggles over what ideas and institutions will take their place the course concludes in the present day as communities everywhere are transitioning into a new era of world history again we work hard to grasp what is happening and ask why again we are drawn to pivotal choices made at key moments by individuals and communities excellent course i learned a lot enjoyed the experience prof zelnikov is a master teacher thanks for the opportunity to listen and learn even after eight years after production of these lectures such an amazing course it requires a lot of focus and measured progress over 14 weeks but is totally worth it i have come out of it a better thinker and more well informed than i have ever been this course is enlightening in so many ways this course not only answers the what about history but also why why not and the overall perception feelings of people of each era being taught,"['European History', 'Cultural Sensitivity', 'Political Sciences', 'Socioeconomics', 'Governance', 'Social Sciences', 'Economics', 'World History', 'International Relations']",2.0,6.0,arts_and_humanities,english,1,83234.0
:(East Asian Confucianisms: Humanism (2)),National Taiwan University,4.7,https://www.coursera.org/learn/east-asian-confucianisms-humanism2,intermediate level,5900,21 21,"['Intercultural Competence', 'Social Studies', 'Governance', 'Cultural Diversity', 'World History', 'Ancient History', 'Culture']",2.0,6.0,arts_and_humanities,chinese (traditional),1,1890.0
"Textual Elements of Design: Fonts, Typography, and Spacing",University of Colorado Boulder,4.7,https://www.coursera.org/learn/fonts-typography-spacing,beginner level,3800,this course is part of graphic design elements for non designers specialization,"['Graphic and Visual Design Software', 'Design', 'Typography', 'Graphic and Visual Design', 'Design Elements And Principles', 'Design Software', 'Graphic Design']",1.0,5.5,arts_and_humanities,english,1,20982.0
Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,4.8,https://www.coursera.org/learn/art-activity,intermediate level,0,this course is part of teaching with art using inquiry activities and themes specialization,"['Collaboration', 'Learning Styles', 'Empathy', 'Creative Thinking', 'Creativity', 'Design Thinking', 'Learning Strategies', 'Constructive Feedback']",1.0,5.5,arts_and_humanities,english,1,110889.0
Game Design Document: Define the Art & Concepts,California Institute of the Arts,4.7,https://www.coursera.org/learn/game-design-document,intermediate level,5400,this course is part of game design art and concepts specialization,"['Visualization (Computer Graphics)', 'Prototyping', 'Conceptual Design', 'Graphic and Visual Design', 'Creativity', 'Ideation', 'Software Design Documents', 'Game Design', 'Usability Testing', 'Peer Review']",2.0,1.0,arts_and_humanities,english,1,8876.0
